32	10
-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	0	53	3	55	
-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-6	77	7	66	2	31	1	42	
-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	9	79	8	62	
-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	6	37	9	83	4	60	
-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	0	41	7	43	4	96	
-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	3	56	7	95	6	9	
-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-8	50	7	27	
-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	0	87	1	45	2	39	
-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-6	89	4	33	7	8	
-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	0	69	
-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	1	6	0	20	
-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	4	7	0	58	
-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	9	48	5	27	
-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	9	80	
-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-1	41	
-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-8	79	1	71	6	60	9	22	
-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	2	24	9	51	
-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	5	8	4	97	
-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	7	53	8	32	1	39	5	20	
-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	8	6	2	90	6	67	4	20	
1	93	5	47	3	38	4	38	7	81	2	20	6	14	0	75	9	88	8	53	
4	24	7	54	8	43	2	27	0	16	1	46	5	57	9	35	3	50	6	17	
1	35	2	13	5	5	7	21	4	25	0	12	8	42	3	48	9	82	6	48	
3	96	2	46	8	71	0	13	6	19	5	85	7	57	4	65	9	40	1	94	
8	84	3	73	6	29	4	60	0	77	2	40	5	12	1	25	9	63	7	44	
0	42	3	25	1	4	2	28	7	90	4	32	8	26	9	67	5	42	6	38	
6	3	8	68	1	29	2	24	3	86	5	90	9	1	7	90	4	68	0	79	
5	11	7	11	8	70	3	82	6	63	9	51	1	89	0	96	2	46	4	10	
8	8	0	57	2	16	3	11	7	9	9	84	6	20	4	92	5	81	1	69	
6	69	4	55	0	2	9	49	5	40	1	70	2	10	8	50	3	20	7	25	
3	78	9	71	8	69	1	61	4	91	0	88	5	57	2	26	7	44	6	8	
5	67	9	95	3	50	4	55	8	47	2	47	6	70	7	89	0	55	1	38	
