32	15
-15	0	-15	0	-15	0	-15	0	-15	0	6	15	8	27	7	26	1	30	5	31	11	18	14	16	13	39	10	19	12	26	
-15	0	-15	0	-15	0	-15	0	1	10	13	15	10	28	2	36	5	26	7	15	0	11	8	23	14	20	9	26	4	28	
-15	0	-15	0	-15	0	-15	0	-15	0	-3	12	12	19	10	23	9	17	1	14	5	16	11	29	8	16	4	22	14	22	
-15	0	-15	0	-15	0	-7	14	12	33	4	30	0	32	5	21	11	29	10	24	14	25	2	29	3	13	8	20	13	18	
-15	0	-15	0	-15	0	-15	0	-7	16	5	18	8	24	9	23	3	24	10	34	2	24	0	24	14	28	12	15	4	18	
-15	0	-15	0	-15	0	-15	0	-7	34	6	35	5	40	10	36	3	23	2	26	4	15	9	28	13	38	12	13	0	25	
-15	0	-15	0	-15	0	-15	0	-12	12	4	27	2	39	9	13	14	12	5	36	10	21	11	17	1	29	0	17	7	33	
-15	0	-15	0	-15	0	-15	0	-15	0	10	18	8	14	14	39	13	39	2	27	1	36	12	12	11	37	7	22	0	13	
-15	0	-15	0	-15	0	3	5	5	40	4	21	9	26	0	27	14	27	6	16	2	21	10	13	7	28	12	28	1	32	
-15	0	-15	0	-15	0	14	3	7	23	0	34	3	24	13	11	8	30	11	31	4	15	10	15	2	28	9	26	6	33	
-15	0	-15	0	-15	0	-1	31	7	25	8	13	14	14	4	20	3	27	9	25	13	31	11	14	6	25	2	39	0	36	
-15	0	-15	0	-15	0	-15	0	4	5	8	21	9	20	14	19	2	29	7	32	10	18	1	18	3	11	12	17	6	15	
-15	0	5	10	2	36	8	14	3	28	13	37	0	38	6	20	7	19	11	12	14	22	1	36	4	15	9	32	10	16	
-15	0	-15	0	-15	0	12	22	4	34	5	33	6	27	10	17	0	20	7	28	11	21	2	21	13	20	9	33	3	27	
-15	0	-15	0	-15	0	-12	38	0	11	11	16	2	14	5	14	1	34	8	33	4	23	13	40	10	12	6	23	7	27	
-15	0	-15	0	-15	0	-15	0	-15	0	-5	33	8	25	13	24	10	23	3	36	2	29	1	18	11	13	6	33	12	13	
-15	0	-15	0	-15	0	-15	0	7	12	1	31	8	35	6	31	11	36	4	12	10	33	14	19	9	16	13	27	0	21	
-15	0	-15	0	-15	0	-15	0	-5	12	1	18	11	17	8	39	14	31	3	31	7	32	9	20	13	29	4	13	6	26	
-15	0	-15	0	-15	0	-15	0	-15	0	11	20	9	16	3	17	1	12	2	13	12	40	6	17	8	30	4	38	0	13	
-15	0	-15	0	-12	27	1	14	5	33	3	31	11	22	13	36	0	16	7	11	14	14	4	29	6	28	2	22	10	17	
4	5	13	31	12	12	2	8	10	16	8	20	5	13	6	8	9	20	1	6	11	4	3	25	7	19	0	36	14	25	
1	31	9	29	13	13	14	3	11	27	2	6	10	21	6	39	3	15	8	14	4	16	12	38	0	40	5	5	7	36	
7	23	14	5	8	40	10	34	12	39	3	11	13	8	1	25	9	11	2	33	4	21	0	39	5	38	11	28	6	35	
9	37	5	8	3	31	4	31	7	25	12	39	13	33	11	28	6	27	10	5	8	30	2	25	14	13	1	31	0	38	
6	26	1	7	3	32	0	39	5	36	9	31	4	14	8	22	13	8	14	31	12	29	7	40	2	25	10	26	11	25	
10	13	7	15	3	30	12	9	9	17	13	29	0	39	11	33	8	24	4	3	5	24	1	31	2	32	6	28	14	10	
3	22	0	25	10	6	2	19	12	22	6	12	1	5	13	23	14	16	9	26	4	38	8	16	7	16	11	25	5	13	
1	28	2	36	7	35	6	9	9	12	12	7	8	27	5	15	0	17	11	16	3	10	4	15	14	2	13	36	10	8	
0	39	4	27	11	6	13	15	3	31	1	40	14	15	9	3	10	29	6	21	8	35	5	27	7	19	2	16	12	30	
9	33	0	27	10	13	7	16	6	22	4	12	2	17	5	1	14	20	3	37	12	29	13	4	8	9	1	21	11	29	
6	21	11	26	10	14	13	7	1	22	8	39	9	6	12	40	0	33	14	5	4	32	2	7	7	18	3	17	5	23	
9	29	3	17	2	16	12	35	8	38	5	5	4	21	14	33	1	38	6	39	11	24	0	31	10	15	13	1	7	16	

