23	15
-15	0	-15	0	-15	0	-15	0	-15	0	6	15	8	27	7	26	1	30	5	31	11	18	14	16	13	39	10	19	12	26	
-15	0	-15	0	-15	0	-15	0	1	10	13	15	10	28	2	36	5	26	7	15	0	11	8	23	14	20	9	26	4	28	
-15	0	-15	0	-15	0	-15	0	-15	0	-3	12	12	19	10	23	9	17	1	14	5	16	11	29	8	16	4	22	14	22	
-15	0	-15	0	-15	0	-7	14	12	33	4	30	0	32	5	21	11	29	10	24	14	25	2	29	3	13	8	20	13	18	
-15	0	-15	0	-15	0	-15	0	-7	16	5	18	8	24	9	23	3	24	10	34	2	24	0	24	14	28	12	15	4	18	
-15	0	-15	0	-15	0	-15	0	-7	34	6	35	5	40	10	36	3	23	2	26	4	15	9	28	13	38	12	13	0	25	
-15	0	-15	0	-15	0	-15	0	-12	12	4	27	2	39	9	13	14	12	5	36	10	21	11	17	1	29	0	17	7	33	
-15	0	-15	0	-15	0	-15	0	-15	0	10	18	8	14	14	39	13	39	2	27	1	36	12	12	11	37	7	22	0	13	
-15	0	-15	0	-15	0	3	5	5	40	4	21	9	26	0	27	14	27	6	16	2	21	10	13	7	28	12	28	1	32	
-15	0	-15	0	-15	0	14	3	7	23	0	34	3	24	13	11	8	30	11	31	4	15	10	15	2	28	9	26	6	33	
-15	0	-15	0	-15	0	-1	31	7	25	8	13	14	14	4	20	3	27	9	25	13	31	11	14	6	25	2	39	0	36	
-15	0	-15	0	-15	0	-15	0	4	5	8	21	9	20	14	19	2	29	7	32	10	18	1	18	3	11	12	17	6	15	
-15	0	5	10	2	36	8	14	3	28	13	37	0	38	6	20	7	19	11	12	14	22	1	36	4	15	9	32	10	16	
-15	0	-15	0	-15	0	12	22	4	34	5	33	6	27	10	17	0	20	7	28	11	21	2	21	13	20	9	33	3	27	
-15	0	-15	0	-15	0	-12	38	0	11	11	16	2	14	5	14	1	34	8	33	4	23	13	40	10	12	6	23	7	27	
-15	0	-15	0	-15	0	-15	0	-15	0	-5	33	8	25	13	24	10	23	3	36	2	29	1	18	11	13	6	33	12	13	
-15	0	-15	0	-15	0	-15	0	7	12	1	31	8	35	6	31	11	36	4	12	10	33	14	19	9	16	13	27	0	21	
-15	0	-15	0	-15	0	-15	0	-5	12	1	18	11	17	8	39	14	31	3	31	7	32	9	20	13	29	4	13	6	26	
-15	0	-15	0	-15	0	-15	0	-15	0	11	20	9	16	3	17	1	12	2	13	12	40	6	17	8	30	4	38	0	13	
-15	0	-15	0	-12	27	1	14	5	33	3	31	11	22	13	36	0	16	7	11	14	14	4	29	6	28	2	22	10	17	
8	22	2	23	5	7	10	30	9	1	3	3	7	20	12	1	13	30	0	23	14	25	11	15	1	24	6	8	4	10	
6	14	4	6	14	5	1	11	5	23	12	29	7	16	0	24	3	9	10	26	8	38	9	7	13	36	2	26	11	7	
12	19	2	30	6	7	7	27	4	1	9	28	11	13	1	21	0	6	8	3	13	3	10	34	5	27	3	22	14	32	
