26	20
-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	14	43	5	45	10	47	7	9	8	94	9	9	0	15	17	66	11	1	4	94	
-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	11	47	7	64	13	97	18	33	15	25	4	47	14	44	5	7	3	60	16	42	12	91	
-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	10	85	11	39	5	94	18	66	13	10	15	53	16	26	8	15	9	65	2	82	17	10	6	27	
-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	2	4	12	88	4	51	0	57	13	78	16	8	14	7	11	91	3	79	5	18	8	51	17	18	6	99	7	33	
-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	13	13	0	20	3	39	16	35	4	68	9	73	11	23	18	30	6	30	19	53	
-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-11	9	15	78	2	23	14	21	4	60	12	36	13	29	1	95	6	99	7	79	18	76	
-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	18	56	16	16	4	31	3	65	12	83	7	78	6	26	15	50	5	87	14	62	2	14	13	30	
-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-11	87	17	66	4	32	13	52	9	9	15	49	0	61	
-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	16	80	9	30	6	96	19	91	7	13	8	87	4	82	2	83	13	78	5	56	
-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	1	17	18	66	8	89	15	78	12	88	6	69	17	45	19	82	0	6	10	13	
-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-11	28	15	90	19	93	7	6	8	35	4	73	10	47	12	43	17	75	14	8	13	51	
-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	19	77	13	65	1	62	6	97	12	20	10	31	0	33	14	33	16	77	2	50	8	80	
-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-2	75	10	17	11	89	14	59	6	56	17	63	12	18	16	17	0	30	8	16	1	7	5	35	
-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	9	84	7	20	6	85	3	61	11	9	15	36	
-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-2	35	11	78	6	12	7	22	18	44	13	8	3	97	17	10	9	86	
-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	7	53	13	50	1	5	18	59	9	35	19	12	6	57	14	11	2	51	
-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	6	8	3	48	15	5	4	25	2	40	0	81	9	46	17	67	12	25	
-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	1	86	9	68	11	55	2	91	12	97	16	19	7	73	0	20	
-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	5	71	19	32	12	64	9	39	11	16	15	97	13	99	7	49	17	75	8	7	6	79	2	80	
-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-2	86	7	80	17	34	12	75	15	35	18	29	
18	64	5	6	14	86	4	63	0	88	1	98	17	65	16	26	12	37	11	66	15	9	2	91	3	18	9	27	10	72	13	28	19	52	7	65	8	87	6	28	
18	20	10	79	13	2	6	28	5	68	9	97	19	5	8	84	16	36	7	42	4	9	11	12	1	60	3	26	12	95	2	64	0	5	15	73	14	26	17	76	
1	52	8	94	14	47	6	68	3	22	4	16	2	97	16	57	18	57	0	27	17	12	13	46	10	57	7	4	15	61	5	95	12	22	19	14	9	7	11	66	
0	62	7	57	15	43	5	39	19	23	14	73	1	59	10	90	8	12	2	30	13	73	18	49	6	35	9	73	3	2	4	54	17	69	12	47	16	18	11	55	
11	45	9	48	19	16	1	88	6	41	2	80	4	57	15	50	0	61	16	27	18	31	14	88	5	91	8	42	3	69	17	92	12	34	13	50	7	17	10	21	
12	84	14	19	9	90	19	36	2	51	1	58	6	59	18	81	11	44	4	42	17	64	3	92	16	14	13	43	10	21	15	73	7	68	0	96	8	6	5	43	
